"","UBIGEO","DEPARTAMENTO","buenEstado","peaOcupada","TOTAL","URBANO","RURAL","populoso","peaOcu_pct"
"1",10000,"AMAZONAS",18.6,130019,417365,205976,211389,"No",0.311523486636397
"2",20000,"ÁNCASH",13.9,387976,1139115,806065,333050,"Si",0.340594233242473
"3",30000,"APURÍMAC",8.7,140341,424259,243354,180905,"No",0.330790861242779
"4",40000,"AREQUIPA",27.4,645001,1460433,1383694,76739,"Si",0.441650524193852
"5",50000,"AYACUCHO",17,235857,650940,444473,206467,"No",0.36233293391096
"6",60000,"CAJAMARCA",18,461312,1427527,567141,860386,"Si",0.323154658370735
"7",70000,"CALLAO",33.8,445072,1046953,1046953,0,"Si",0.425111728988789
"8",80000,"CUSCO",11.9,496399,1315220,865771,449449,"Si",0.377426590228251
"9",90000,"HUANCAVELICA",10.1,111996,367252,166163,201089,"No",0.304956814394476
"10",100000,"HUÁNUCO",15.6,253200,759962,447620,312342,"No",0.333174553464515
"11",110000,"ICA",28.3,369753,893292,831180,62112,"No",0.413921763544283
"12",120000,"JUNÍN",11.6,512532,1316894,993029,323864,"Si",0.389197611956619
"13",130000,"LA LIBERTAD",21.8,691563,1888972,1516546,372426,"Si",0.366105479594192
"14",140000,"LAMBAYEQUE",19.4,459254,1244821,1006609,238212,"Si",0.368931758059994
"15",150000,"LIMA",31.4,4536507,10135009,10012201,122808,"Si",0.447607594625718
"16",160000,"LORETO",15.1,300663,981897,695083,286814,"No",0.306206251775899
"17",170000,"MADRE DE DIOS",17.3,64206,161204,137927,23277,"No",0.39829036500335
"18",180000,"MOQUEGUA",19,82399,182017,167704,14313,"No",0.452699473126137
"19",190000,"PASCO",7.8,97392,272136,184423,87713,"No",0.357879883587618
"20",200000,"PIURA",22,665465,1929970,1535498,394472,"Si",0.344805877811572
"21",210000,"PUNO",7.7,454941,1226936,714334,512602,"Si",0.370794401663982
"22",220000,"SAN MARTÍN",16.2,321613,862459,613683,248776,"No",0.372902364054407
"23",230000,"TACNA",40.5,161903,349056,329169,19887,"No",0.463831018518519
"24",240000,"TUMBES",17.3,90571,234698,219639,15059,"No",0.385904438895943
"25",250000,"UCAYALI",14.9,189783,548998,444790,104208,"No",0.345689783933639
